Phenotype,Timepoint,AL_Mean,AL_SE,1D_Mean,1D_SE,2D_Mean,2D_SE,20_Mean,20_SE,40_Mean,40_SE,Diet_FTestStat,Diet_FTestNumDF,Diet_FTestDenDF,Diet_FTestScaling,Diet_FTestPValue,Diet_PairwiseDifferences
NumWBC,23 months,1.6831899510722224,0.07886214147658441,1.8896466802176262,0.07554183374502368,1.87289723957779,0.074900599077598,1.9631191136022013,0.07412737129289329,1.6382076308909317,0.06623746316065633,6.071884819454076,4,427.63237654274076,0.9978335704135682,9.267409962985916e-5,AL-20:1D-40:2D-40:20-40
NumLymph,11 months,1.4052117295849575,0.053026580637717244,1.5212121758989567,0.053838270588923785,1.6146742361468749,0.053248093340396034,1.7011831929424395,0.052904123550467114,1.6336051491328978,0.05066051147556883,8.310889577827595,4,649.8350902070263,0.9989031644649831,1.5327576768274628e-6,AL-2D:AL-20:AL-40
NumLymph,23 months,1.2193329671626705,0.08495911695528767,1.5442845932009177,0.08106464251736366,1.5455148950860311,0.0802785418109006,1.6350211826957612,0.07938606954411583,1.2370552156585632,0.07123648825853408,8.500895758450213,4,386.43726693150154,0.9972723324117527,1.3931582751162726e-6,AL-1D:AL-2D:AL-20:1D-40:2D-40:20-40
NumNeut,11 months,-0.1700507234795887,0.04555444638062652,-0.24200540086330594,0.04631718826091155,-0.31065037122726785,0.045764618189506646,-0.1260179520308455,0.04544618729673034,-0.1994876829501667,0.043653180148256227,2.537834322736398,4,607.3096139563694,0.9986549506255235,0.0390367175758427,2D-20
NumNeut,23 months,0.13513797088014232,0.07520018129832169,0.2343252155106253,0.07136011638794668,0.19538775391292873,0.07054357737983633,0.0360094591386471,0.06968471313604893,-0.05113697393709698,0.06321590576445264,3.3840796713977985,4,336.2800084323661,0.9964274554447199,0.009855253936889843,1D-40:2D-40
NumMono,11 months,-1.8358471965608363,0.07276353889518382,-1.9721286877110336,0.07342834646916398,-2.0848467143444083,0.07293703337735723,-1.8880677593216366,0.07263630340715725,-1.9706859384161803,0.06962128555620069,2.8479762922180805,4,816.6297454272068,0.999677333496069,0.02312459921388761,AL-2D
NumMono,23 months,-1.628938609286409,0.09276733552284988,-1.8376864200024323,0.08967190532773625,-1.8182325367988768,0.08913872950785126,-1.6769471942488718,0.08839473324593637,-1.9756925596861314,0.07921477392338298,4.453703719557218,4,528.0758121849861,0.9988843354278664,0.0015080273242343246,AL-40:20-40
NumEos,11 months,-1.6084117667736295,0.052135990880587256,-1.538265862791899,0.05316672128112547,-1.511377604425311,0.05262646151416932,-1.3414330947813913,0.052009544766647285,-1.3924815387134415,0.050566173124035316,5.946218369193362,4,513.5997303981378,0.9979859615883424,1.1051859150358887e-4,AL-20:AL-40:1D-20
NumEos,23 months,-1.562448660030304,0.08483055295239351,-1.643160733768138,0.08085909377302715,-1.5811854875787368,0.08003007995698994,-1.4145048418580557,0.07912143905228589,-1.446225744031135,0.07128552810159401,1.7266919804576388,4,372.81553159719675,0.9970689527307559,0.1433701041285839,NA
NLR,11 months,-1.5244373233600408,0.04357619091053839,-1.7121848855300121,0.04473511089349953,-1.866761485882534,0.04391192424925876,-1.7604772928353674,0.04346315158863036,-1.7714752170557349,0.043704991572732166,8.566051075892808,4,405.12981402575303,0.9968640611394188,1.2099951928409656e-6,AL-1D:AL-2D:AL-20:AL-40
NLR,23 months,-1.0262922301953004,0.07567786884209259,-1.2874007495600253,0.07095520913249077,-1.3343902403394334,0.0699042807633526,-1.51197914408701,0.06889997196240319,-1.239511342476307,0.06482351440875428,6.011293571854771,4,268.0124950434763,0.994853178097928,1.2025786305686031e-4,AL-2D:AL-20:20-40
